    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 4659,      10798634,         5392335,           5638,    211584,       16241,        332,                  43421881,                     5287651,                      14854,       271258,         122513,           361
 4660,      10806499,         5396266,           5416,    213458,       16298,        329,                  43440521,                     5291482,                      14927,       271385,         122487,           360
 4661,      10810494,         5398262,           5419,    214368,       16333,        335,                  43459165,                     5293424,                      15108,       271283,         122450,           358
 4662,      10814541,         5400284,           5864,    211782,       16369,        335,                  43477813,                     5295391,                      15241,       271523,         122573,           359
 4663,      10820972,         5403498,           5420,    213199,       16339,        333,                  43496465,                     5298524,                      15328,       271923,         122851,           357
 4664,      10828261,         5407141,           5495,    218189,       16248,        332,                  43515121,                     5302076,                      15635,       271592,         122563,           359
 4665,      10834564,         5410291,           5665,    210940,       16402,        462,                  43533781,                     5305146,                      14826,       271750,         122711,           362
 4666,      10837985,         5412000,           5649,    210547,       16350,        334,                  43552445,                     5306810,                      14912,       271657,         122671,           360
 4667,      10840506,         5413259,           5458,    213107,       16386,        333,                  43571113,                     5308034,                      15200,       271955,         122818,           359
 4668,      10842481,         5414245,           5449,    211612,       16469,        338,                  43589785,                     5308998,                      15278,       272073,         122883,           358
 4669,      10846464,         5416235,           5510,    211187,       16495,        337,                  43608461,                     5310934,                      15297,       271952,         122803,           361
 4670,      10854793,         5420398,           5500,    208617,       16517,        338,                  43627141,                     5314993,                      14932,       272144,         122906,           359
 4671,      10862822,         5424411,           5453,    208330,       16611,        341,                  43645825,                     5318904,                      14897,       272125,         122826,           363
 4672,      10866433,         5426215,           5575,    208464,       16571,        340,                  43664513,                     5320660,                      15090,       272061,         122819,           361
 4673,      10869504,         5427749,           5683,    215071,       16359,        334,                  43683205,                     5322153,                      15339,       272413,         123030,           362
 4674,      10870335,         5428163,           5466,    214727,       16347,        333,                  43701901,                     5322558,                      15202,       272421,         123055,           360
 4675,      10878938,         5432463,           5519,    207764,       16538,        340,                  43720601,                     5326752,                      15707,       272351,         122899,           361
 4676,      10888263,         5437124,           5541,    212197,       16420,        335,                  43739305,                     5331299,                      15308,       272527,         123049,           360
 4677,      10888668,         5437325,           5453,    211070,       16430,        380,                  43758013,                     5331496,                      15262,       272521,         123080,           362
 4678,      10890431,         5438205,           5504,    210980,       16460,        338,                  43776725,                     5332358,                      15586,       272539,         123067,           361
 4679,      10895762,         5440869,           5763,    210376,       16581,        340,                  43795441,                     5334954,                      15250,       272851,         123187,           360
 4680,      10898735,         5442354,           5503,    209196,       16565,        336,                  43814161,                     5336397,                      15316,       272825,         123149,           364
 4681,      10901290,         5443630,           5482,    209228,       16557,        336,                  43832885,                     5337637,                      15807,       273011,         123306,           364
 4682,      10906909,         5446438,           5557,    209637,       16576,        339,                  43851613,                     5340372,                      15776,       272999,         123287,           363
 4683,      10913928,         5449946,           5548,    212073,       16520,        336,                  43870345,                     5343790,                      15048,       272959,         123242,           360
 4684,      10923023,         5454492,           5469,    214878,       16383,        336,                  43889081,                     5348223,                      15381,       273019,         123239,           359
 4685,      10923930,         5454944,           5632,    217046,       16372,        373,                  43907821,                     5348666,                      15693,       273113,         123316,           361
 4686,      10933143,         5459549,           5587,    211994,       16463,        336,                  43926565,                     5353156,                      15215,       273239,         123416,           359
 4687,      10937096,         5461524,           5478,    212838,       16418,        335,                  43945313,                     5355076,                      15399,       273204,         123400,           359
 4688,      10945783,         5465866,           6264,    213533,       16541,        338,                  43964065,                     5359310,                      17090,       273260,         123332,           495
 4689,      10946812,         5466379,           5667,    210804,       16529,        338,                  43982821,                     5359812,                      15208,       273310,         123365,           362
 4690,      10954699,         5470321,           5561,    212010,       16482,        337,                  44001581,                     5363654,                      15730,       273366,         123373,           361
 4691,      10960938,         5473439,           5492,    212530,       16614,        412,                  44020345,                     5366693,                      14815,       273625,         123623,           363
 4692,      10961499,         5473718,           5886,    213776,       16429,        352,                  44039113,                     5366965,                      15160,       273555,         123552,           397
 4693,      10966128,         5476031,           5516,    209084,       16583,        343,                  44057885,                     5369217,                      15070,       273563,         123488,           362
 4694,      10971137,         5478534,           5497,    212580,       16510,        335,                  44076661,                     5371655,                      15454,       273688,         123576,           361
 4695,      10977024,         5481476,           5627,    215960,       16575,        338,                  44095441,                     5374522,                      15437,       273666,         123528,           361
 4696,      10977685,         5481805,           5497,    211059,       16684,        340,                  44114225,                     5374842,                      15772,       273782,         123632,           362
 4697,      10984390,         5485156,           5513,    212627,       16584,        337,                  44133013,                     5378107,                      15709,       273890,         123649,           361
 4698,      10984725,         5485322,           5642,    211584,       16683,        340,                  44151805,                     5378269,                      15881,       274118,         123794,           362
 4699,      10985218,         5485567,           5501,    211969,       16698,        342,                  44170601,                     5378509,                      15526,       274233,         123805,           360
