   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 530,          2107,             260,              2,     11680,         704,         12,                    562861,                         959,                        256,        23919,          10759,            27
 531,          2110,             260,              2,     11686,         704,         12,                    564985,                         961,                        257,        23948,          10767,            27
 532,          2113,             260,              2,     11726,         686,         14,                    567113,                         963,                        258,        24002,          10802,            27
 533,          2116,             260,              2,     11676,         682,         13,                    569245,                         965,                        259,        24051,          10814,            30
 534,          2119,             260,              2,     11834,         699,         13,                    571381,                         967,                        340,        24106,          10842,            27
 535,          2122,             260,              3,     11881,         706,         15,                    573521,                         969,                        262,        24158,          10864,            27
 536,          2127,             261,              2,     11871,         709,         14,                    575665,                         970,                        267,        24207,          10877,            27
 537,          2134,             263,              2,     12125,         707,         13,                    577813,                         972,                        263,        24274,          10913,            27
 538,          2137,             263,              2,     11952,         723,         14,                    579965,                         974,                        264,        24332,          10941,            28
 539,          2140,             263,              2,     11999,         718,         13,                    582121,                         976,                        268,        24360,          10950,            28
 540,          2143,             263,              2,     12042,         719,         13,                    584281,                         978,                        266,        24428,          10978,            27
 541,          2146,             263,              2,     11907,         712,         12,                    586445,                         980,                        267,        24501,          11017,            27
 542,          2149,             263,              2,     12677,         723,         14,                    588613,                         980,                        268,        24566,          11043,            27
 543,          2152,             263,              2,     12710,         736,         13,                    590785,                         983,                        269,        24588,          11055,            28
 544,          2155,             263,              2,     12457,         736,         14,                    592961,                         985,                        270,        24634,          11072,            30
 545,          2158,             263,              2,     12466,         735,         13,                    595141,                         987,                        271,        24707,          11107,            28
 546,          2161,             263,              2,     12258,         729,         14,                    597325,                         989,                        272,        24750,          11126,            28
 547,          2166,             264,              2,     12321,         729,         13,                    599513,                         990,                        278,        24786,          11133,            28
 548,          2173,             266,              2,     12401,         720,         14,                    601705,                         992,                        274,        24856,          11169,            28
 549,          2182,             269,              3,     12347,         725,         13,                    603901,                         995,                        276,        24918,          11194,            28
 550,          2193,             273,              2,     12058,         716,         14,                    606101,                         999,                        279,        24972,          11216,            29
 551,          2196,             273,              2,     12135,         718,         13,                    608305,                        1001,                        278,        25007,          11227,            28
 552,          2199,             273,              2,     12697,         722,         13,                    610513,                        1003,                        278,        25081,          11265,            28
 553,          2202,             273,              2,     12916,         725,         13,                    612725,                        1005,                        289,        25143,          11290,            28
 554,          2205,             273,              3,     12345,         735,         14,                    614941,                        1007,                        281,        25207,          11315,            28
 555,          2210,             274,              2,     12403,         734,         13,                    617161,                        1008,                        297,        25267,          11352,            29
 556,          2213,             274,              2,     12670,         751,         15,                    619385,                        1010,                        282,        25311,          11359,            29
 557,          2216,             274,              2,     12658,         753,         14,                    621613,                        1012,                        417,        25362,          11380,            73
 558,          2225,             277,              4,     12567,         739,        247,                    623845,                        1015,                        661,        25424,          11412,            44
 559,          2228,             277,              5,     12612,         751,         25,                    626081,                        1017,                        488,        25459,          11427,            52
 560,          2231,             277,              3,     12628,         754,         18,                    628321,                        1019,                        333,        25546,          11467,            44
 561,          2234,             277,              5,     12697,         759,         26,                    630565,                        1021,                        483,        25584,          11486,            30
 562,          2237,             277,              3,     12537,         752,         16,                    632813,                        1023,                        288,        25632,          11501,            30
 563,          2240,             277,              3,     12566,         745,         15,                    635065,                        1025,                        404,        25658,          11516,            42
 564,          2243,             277,              3,     12656,         752,         16,                    637321,                        1027,                        291,        25731,          11550,            30
 565,          2246,             277,              3,     12696,         754,         14,                    639581,                        1029,                        312,        25789,          11569,            29
 566,          2249,             277,              3,     12606,         742,         15,                    641845,                        1031,                        292,        25848,          11603,            29
 567,          2252,             277,              3,     12615,         742,         13,                    644113,                        1033,                        350,        25896,          11619,            30
 568,          2255,             277,              2,     12753,         750,         15,                    646385,                        1035,                        352,        25969,          11663,            30
 569,          2260,             278,              3,     12929,         757,         15,                    648661,                        1036,                        332,        26011,          11673,            30
 570,          2263,             278,              3,     13006,         749,         16,                    650941,                        1038,                        299,        26073,          11699,            30
 571,          2266,             278,              3,     13157,         747,         14,                    653225,                        1040,                        297,        26121,          11720,            29
 572,          2269,             278,              3,     12733,         761,         14,                    655513,                        1042,                        298,        26172,          11742,            38
 573,          2272,             278,              3,     12783,         765,         13,                    657805,                        1044,                        299,        26238,          11782,            30
 574,          2275,             278,              3,     12877,         769,         14,                    660101,                        1046,                        300,        26282,          11792,            30
 575,          2278,             278,              3,     12978,         762,         14,                    662401,                        1048,                        305,        26312,          11805,            29
 576,          2283,             279,              3,     13843,         759,         15,                    664705,                        1049,                        303,        26348,          11822,            30
 577,          2288,             280,              3,     13805,         757,         14,                    667013,                        1050,                        303,        26397,          11837,            40
 578,          2295,             282,              3,     13108,         768,         15,                    669325,                        1052,                        304,        26479,          11878,            30
 579,          2298,             282,              3,     12983,         769,         14,                    671641,                        1054,                        305,        26521,          11895,            30
 580,          2301,             282,              3,     13112,         770,         15,                    673961,                        1056,                        310,        26586,          11928,            30
 581,          2304,             282,              3,     13082,         760,         17,                    676285,                        1058,                        308,        26636,          11945,            30
 582,          2309,             283,              3,     13030,         769,         15,                    678613,                        1059,                        388,        26687,          11972,            30
 583,          2312,             283,              3,     13017,         767,         14,                    680945,                        1061,                        309,        26754,          12004,            30
 584,          2315,             283,              3,     13125,         769,         15,                    683281,                        1063,                        311,        26799,          12015,            30
 585,          2318,             283,              3,     13029,         764,         14,                    685621,                        1065,                        313,        26844,          12032,            30
 586,          2325,             285,              3,     13419,         766,         15,                    687965,                        1067,                        313,        26902,          12054,            30
 587,          2328,             285,              3,     13279,         769,         14,                    690313,                        1069,                        325,        26958,          12082,            30
 588,          2331,             285,              3,     13163,         763,         15,                    692665,                        1071,                        316,        27028,          12121,            30
 589,          2334,             285,              3,     13350,         762,         14,                    695021,                        1073,                        320,        27063,          12127,            30
 590,          2341,             287,              3,     13702,         758,         15,                    697381,                        1075,                        358,        27134,          12163,            31
 591,          2344,             287,              3,     13749,         764,         15,                    699745,                        1077,                        319,        27168,          12180,            30
