   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 488,        115708,           57126,             84,     17158,        1284,         31,                    477265,                       56930,                        239,        20466,           8910,            28
 489,        116143,           57342,             62,     16981,        1280,         30,                    479221,                       57144,                        250,        20521,           8910,            37
 490,        116312,           57425,            252,     16660,        1327,         87,                    481181,                       57225,                        241,        20595,           8971,            31
 491,        117059,           57797,             62,     16301,        1324,         30,                    483145,                       57594,                        242,        20621,           8952,            28
 492,        118022,           58277,             63,     16678,        1315,         30,                    485113,                       58070,                        248,        20706,           9007,            53
 493,        118513,           58521,             63,     16136,        1327,         30,                    487085,                       58312,                        253,        20715,           9003,            28
 494,        118596,           58561,             63,     16150,        1327,         30,                    489061,                       58351,                        245,        20805,           9048,            28
 495,        118969,           58746,             63,     16158,        1342,         29,                    491041,                       58534,                        249,        20805,           9039,            29
 496,        119658,           59089,             64,     16113,        1350,         30,                    493025,                       58875,                        247,        20924,           9103,            29
 497,        120179,           59348,             64,     16288,        1378,         30,                    495013,                       59132,                       1570,        20933,           9112,            37
 498,        120582,           59548,             83,     16425,        1386,         42,                    497005,                       59330,                        318,        20989,           9139,            30
 499,        121061,           59786,             71,     16621,        1359,         33,                    499001,                       59566,                        250,        21011,           9136,            29
 500,        121388,           59948,             65,     16639,        1365,         31,                    501001,                       59726,                        251,        21042,           9157,            29
 501,        121791,           60148,             65,     16455,        1349,         30,                    503005,                       59924,                        255,        21166,           9213,            29
 502,        122776,           60639,             65,     17188,        1395,         31,                    505013,                       60411,                        252,        21186,           9230,            29
 503,        122867,           60683,             68,     17029,        1381,         41,                    507025,                       60454,                        272,        21282,           9270,            29
 504,        123474,           60985,             66,     16212,        1377,         31,                    509041,                       60754,                        255,        21288,           9279,            29
 505,        123677,           61085,             66,     16256,        1386,         30,                    511061,                       60852,                        260,        21360,           9322,            29
 506,        124396,           61443,             67,     16746,        1378,         30,                    513085,                       61207,                        258,        21364,           9314,            29
 507,        125103,           61795,             67,     16758,        1382,         31,                    515113,                       61557,                        258,        21389,           9328,            29
 508,        125884,           62184,             76,     16866,        1411,         31,                    517145,                       61943,                        259,        21461,           9358,            29
 509,        126561,           62521,             68,     16906,        1395,         31,                    519181,                       62278,                        260,        21555,           9381,            29
 510,        127046,           62762,             68,     17380,        1394,         31,                    521221,                       62517,                        265,        21571,           9399,            30
 511,        127099,           62787,             68,     17320,        1387,         31,                    523265,                       62542,                        262,        21579,           9405,            29
 512,        127806,           63139,             68,     17377,        1382,         31,                    525313,                       62891,                        279,        21775,           9522,            30
 513,        128751,           63610,             69,     17734,        1385,         31,                    527365,                       63357,                        264,        21771,           9484,            30
 514,        128786,           63626,             69,     17862,        1402,         32,                    529421,                       63373,                        361,        21791,           9475,            44
 515,        129343,           63903,             69,     17631,        1393,         33,                    531481,                       63648,                        266,        21855,           9507,            30
 516,        130252,           64356,             69,     17656,        1407,         32,                    533545,                       64096,                        276,        21894,           9538,            30
