    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 2988,         11498,            1269,             16,     81595,        3967,         86,                  17862265,                        5455,                       8029,       173605,          79710,           176
 2989,         11503,            1270,             16,     81559,        3950,         79,                  17874221,                        5456,                       8436,       173678,          79761,           178
 2990,         11506,            1270,             16,     81654,        3963,         84,                  17886181,                        5458,                       8122,       173720,          79766,           174
 2991,         11513,            1272,             16,     81668,        3962,         83,                  17898145,                        5460,                       8219,       173760,          79784,           178
 2992,         11522,            1275,             16,     83104,        4019,         86,                  17910113,                        5463,                       8107,       173800,          79797,           176
 2993,         11525,            1275,             16,     83638,        4028,         86,                  17922085,                        5465,                       8410,       173894,          79853,           175
 2994,         11528,            1275,             16,     82918,        4023,         84,                  17934061,                        5467,                       8223,       173989,          79906,           179
 2995,         11531,            1275,             16,     83202,        4019,         85,                  17946041,                        5469,                       8205,       174023,          79905,           176
 2996,         11534,            1275,             16,     85532,        4023,         85,                  17958025,                        5471,                       8123,       174124,          79969,           178
 2997,         11537,            1275,             16,     85371,        4010,         85,                  17970013,                        5473,                       8554,       174157,          79992,           181
 2998,         11542,            1276,             16,     82520,        3995,         85,                  17982005,                        5474,                       8222,       174246,          80026,           187
 2999,         11545,            1276,             17,     82434,        4008,         85,                  17994001,                        5476,                       8088,       174301,          80051,           179
 3000,         11548,            1276,             16,     84037,        4001,         81,                  18006001,                        5478,                       8550,       174335,          80054,           273
 3001,         11551,            1276,             22,     83238,        3985,        106,                  18018005,                        5480,                       8109,       174431,          80111,           176
 3002,         11554,            1276,             16,     83210,        4003,         81,                  18030013,                        5482,                       8230,       174510,          80154,           177
 3003,         11557,            1276,             16,     83887,        4017,         86,                  18042025,                        5484,                       8209,       174589,          80198,           175
 3004,         11562,            1277,             16,     83878,        3996,         84,                  18054041,                        5485,                       8199,       174624,          80207,           176
 3005,         11569,            1279,             16,     83887,        4004,         86,                  18066061,                        5487,                       8159,       174718,          80260,           175
 3006,         11578,            1282,             16,     85819,        4000,         89,                  18078085,                        5490,                       8149,       174804,          80306,           177
 3007,         11581,            1282,             16,     85657,        4004,         84,                  18090113,                        5492,                       8222,       174875,          80357,           177
 3008,         11584,            1282,             16,     83217,        3990,         86,                  18102145,                        5494,                       8221,       174926,          80377,           176
 3009,         11587,            1282,             16,     82589,        4013,         82,                  18114181,                        5496,                       8209,       174972,          80391,           176
 3010,         11590,            1282,             16,     83414,        4029,         86,                  18126221,                        5498,                       8206,       175069,          80431,           176
 3011,         11593,            1282,             17,     83089,        4032,         86,                  18138265,                        5500,                       8220,       175118,          80459,           175
 3012,         11596,            1282,             16,     84364,        4013,         87,                  18150313,                        5502,                       8293,       175181,          80486,           189
 3013,         11599,            1282,             16,     84339,        4003,         87,                  18162365,                        5504,                       8205,       175232,          80522,           176
 3014,         11604,            1283,             16,     85385,        4007,         86,                  18174421,                        5505,                       8183,       175304,          80551,           222
 3015,         11611,            1285,             16,     85387,        4009,         83,                  18186481,                        5507,                       8192,       175386,          80597,           178
 3016,         11618,            1287,             16,     84426,        3999,         81,                  18198545,                        5509,                       8375,       175424,          80616,           177
 3017,         11621,            1287,             16,     84687,        4048,         84,                  18210613,                        5511,                       8181,       175534,          80663,           180
 3018,         11624,            1287,             16,     83100,        4020,         81,                  18222685,                        5513,                       8517,       175601,          80700,           176
 3019,         11629,            1288,             16,     83096,        4027,         86,                  18234761,                        5514,                       8216,       175630,          80692,           177
 3020,         11632,            1288,             16,     86465,        4048,         84,                  18246841,                        5516,                       8538,       175717,          80737,           178
 3021,         11637,            1289,             16,     84813,        4042,         87,                  18258925,                        5517,                       8206,       175772,          80776,           180
 3022,         11640,            1289,             16,     83074,        4050,         80,                  18271013,                        5519,                       8725,       175839,          80798,           179
